2025-08-30 20:03:04.450 | INFO     | utils.config:from_yaml:54 - Configuration loaded.
2025-08-30 20:03:04.450 | INFO     | __main__:run_tools:8 - Loaded 55 vulnerabilities from configuration.
2025-08-30 20:03:04.450 | INFO     | __main__:run_tools:44 - Loaded 55 vulnerabilities from configuration.
2025-08-30 20:03:04.451 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on keycloak__keycloak_CVE-2022-3782_20.0.1
2025-08-30 20:03:10.050 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on keycloak__keycloak_CVE-2022-3782_20.0.1
2025-08-30 20:03:10.050 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on asf__james-project_CVE-2022-22931_3.6.0
2025-08-30 20:03:15.613 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on asf__james-project_CVE-2022-22931_3.6.0
2025-08-30 20:03:15.613 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105
2025-08-30 20:06:49.121 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105
2025-08-30 20:06:49.121 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on asf__tapestry-5_CVE-2019-0207_5.4.4
2025-08-30 20:06:54.799 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on asf__tapestry-5_CVE-2019-0207_5.4.4
2025-08-30 20:06:54.800 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on apache__rocketmq_CVE-2019-17572_4.6.0
2025-08-30 20:21:52.419 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on apache__rocketmq_CVE-2019-17572_4.6.0
2025-08-30 20:21:52.419 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on testng-team__testng_CVE-2022-4065_7.5
2025-08-30 20:21:58.133 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on testng-team__testng_CVE-2022-4065_7.5
2025-08-30 20:21:58.134 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on apache__flink_CVE-2020-17519_1.11.2
2025-08-30 20:22:03.779 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on apache__flink_CVE-2020-17519_1.11.2
2025-08-30 20:22:03.780 | INFO     | __main__:run_tools:47 - Running IRIS for vulnerability: CWE-022 on vert-x3__vertx-web_CVE-2019-17640_3.9.3
2025-08-30 20:33:05.161 | INFO     | __main__:run_tools:49 - Completed IRIS for vulnerability: CWE-022 on vert-x3__vertx-web_CVE-2019-17640_3.9.3
