Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-parsers/tika-parsers-extended/tika-parser-scientific-module/src/main/java/org/apache/tika/parser/gdal/GDALParser.java,201,76,201,85, "FALSE; Context is limited! CodeQL do not understand which part is the command that the will run. And in the project, the command are from internal data."
Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external2/ExternalParser.java,130,66,130,80,"FALSE; Context is limited! In the real project, this sink is not called with external input."
Executing a command with a relative path,Executing a command with a relative path is vulnerable to malicious changes in the PATH environment variable.,warning,Command with a relative path 'unrar' is executed.,/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/main/java/org/apache/tika/parser/pkg/UnrarParser.java,147,17,147,23, "FALSE; CodeQL do not understand the semantics. This sink will use the abs path of file and the unrar is the name of cmd."
Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,314,53,314,55, "FALSE; Context is limited! CodeQL do not realize the input cmd of this sink is from internal data."
Uncontrolled command line,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-parsers/tika-parsers-extended/tika-parser-scientific-module/src/main/java/org/apache/tika/parser/gdal/GDALParser.java,201,76,201,85, "FALSE;  Context is limited! CodeQL do not realize the input cmd of this sink is from internal data."
Uncontrolled command line,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,314,53,314,55, "FALSE; Context is limited! CodeQL do not realize the input cmd of this sink is from internal data."
Uncontrolled command line,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,312,53,312,58, "FALSE;  Context is limited! CodeQL do not realize the input cmd of this sink is from internal data."
Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-ocr-module/src/main/java/org/apache/tika/parser/ocr/TesseractOCRParser.java,437,48,437,50, "FALSE;  Context is limited! CodeQL do not realize the input cmd of this sink is from internal data."
Uncontrolled command line,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external2/ExternalParser.java,134,66,134,80, "FALSE; Context is limited! CodeQL do not recognize that this sink has not been used in the real project."
Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:97:38:97:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/RecursiveMetadataResource.java:169:33:169:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/MetadataResource.java:64:33:64:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/TikaResource.java:566:29:566:48""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:106:42:106:55""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/resource/UnpackerResource.java:99:39:99:52""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:60:33:60:46""]].
This command line depends on a [[""user-provided value""|""relative:///tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/resource/XMPMetadataResource.java:44:38:44:51""]].
This command line depends on a [[""user-provided value""|""relative:///tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java:621:60:621:86""]].",/tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,312,53,312,58, "FALSE; Context is limited! CodeQL do not realize this sink will only execute cmd from internal data."
